participant_id,study_id,participant_age,session_date,session_time,trial_number,condition,category,image_name,image_location,word,click_order,rt,id,typicality
20,borrowing_kids_pilot,3,07/24/2025,09:25:44,4,novel_word_condition,shells,shell_fan_1_1.png,7,bines,1,4163,1,1
20,borrowing_kids_pilot,3,07/24/2025,09:25:44,4,novel_word_condition,shells,shell_fan_3_1.png,3,bines,2,5163,3,1
20,borrowing_kids_pilot,3,07/24/2025,09:25:44,5,novel_word_condition,mushrooms,mushroom_enoki_3_1.png,7,tinches,1,3662,3,1
20,borrowing_kids_pilot,3,07/24/2025,09:25:44,5,novel_word_condition,mushrooms,mushroom_enoki_1_1.png,10,tinches,2,7863,1,1
16,borrowing_kids_pilot,4,07/21/2025,14:41:13,0,novel_word_condition,carrots,carrot_carrot_3_0.png,6,carrots,1,4159,3,0
16,borrowing_kids_pilot,4,07/21/2025,14:41:13,0,novel_word_condition,carrots,carrot_carrot_6_0.png,2,carrots,2,5643,6,0
16,borrowing_kids_pilot,4,07/21/2025,14:41:13,1,novel_word_condition,apples,apple_apple_2_0.png,3,apples,1,5079,2,0
16,borrowing_kids_pilot,4,07/21/2025,14:41:13,1,novel_word_condition,apples,apple_apple_1_0.png,1,apples,2,6347,1,0
16,borrowing_kids_pilot,4,07/21/2025,14:41:13,2,novel_word_condition,shells,shell_spiral_1_1.png,2,tinches,1,9729,1,1
16,borrowing_kids_pilot,4,07/21/2025,14:41:13,2,novel_word_condition,shells,shell_spiral_2_1.png,10,tinches,2,13146,2,1
16,borrowing_kids_pilot,4,07/21/2025,14:41:13,3,novel_word_condition,leaves,leaf_oak_2_1.png,1,bines,1,4529,2,1
16,borrowing_kids_pilot,4,07/21/2025,14:41:13,3,novel_word_condition,leaves,leaf_oak_1_1.png,8,bines,2,5846,1,1
16,borrowing_kids_pilot,4,07/21/2025,14:41:13,4,novel_word_condition,flowers,flower_trumpet_1_2.png,10,palts,1,4631,1,2
16,borrowing_kids_pilot,4,07/21/2025,14:41:13,4,novel_word_condition,flowers,flower_trumpet_3_2.png,0,palts,2,8731,3,2
16,borrowing_kids_pilot,4,07/21/2025,14:41:13,5,novel_word_condition,mushrooms,mushroom_enoki_2_1.png,6,nefts,1,6647,2,1
16,borrowing_kids_pilot,4,07/21/2025,14:41:13,5,novel_word_condition,mushrooms,mushroom_enoki_3_1.png,4,nefts,2,11243,3,1
15,borrowing_kids_pilot,4,07/18/2025,14:29:57,0,novel_word_condition,carrots,carrot_carrot_3_0.png,11,carrots,1,9458,3,0
15,borrowing_kids_pilot,4,07/18/2025,14:29:57,0,novel_word_condition,carrots,carrot_carrot_1_0.png,7,carrots,2,18924,1,0
