participant_id,study_id,participant_age,session_date,session_time,trial_number,condition,category,image_name,image_location,word,click_order,rt,id,typicality,experiment_date,date_of_birth,experimenter,notes,exclude,exclusion_reason,exact_age
30,exp_2_child,3,12/02/2025,09:12:33,3,familiar_word_condition,cups,cup_teacup_2_1.png,10,cups,2,3780,2,1,NA,NA,NA,NA,FALSE,NA,NA
30,exp_2_child,3,12/02/2025,09:12:33,4,familiar_word_condition,hats,hat_party_1_2.png,7,hats,1,3360,1,2,NA,NA,NA,NA,FALSE,NA,NA
30,exp_2_child,3,12/02/2025,09:12:33,4,familiar_word_condition,hats,hat_jester_2_2.png,6,hats,2,4981,2,2,NA,NA,NA,NA,FALSE,NA,NA
30,exp_2_child,3,12/02/2025,09:12:33,5,familiar_word_condition,mushrooms,mushroom_toadstool_3_1.png,6,mushrooms,1,4212,3,1,NA,NA,NA,NA,FALSE,NA,NA
30,exp_2_child,3,12/02/2025,09:12:33,5,familiar_word_condition,mushrooms,mushroom_toadstool_2_1.png,7,mushrooms,2,7529,2,1,NA,NA,NA,NA,FALSE,NA,NA
30,exp_2_child,3,12/02/2025,09:12:33,6,familiar_word_condition,leaves,leaf_oak_2_1.png,11,leaves,1,2728,2,1,NA,NA,NA,NA,FALSE,NA,NA
30,exp_2_child,3,12/02/2025,09:12:33,6,familiar_word_condition,leaves,leaf_oak_1_1.png,9,leaves,2,3996,1,1,NA,NA,NA,NA,FALSE,NA,NA
30,exp_2_child,3,12/02/2025,09:12:33,7,familiar_word_condition,flowers,flower_iris_2_2.png,3,flowers,1,3747,2,2,NA,NA,NA,NA,FALSE,NA,NA
30,exp_2_child,3,12/02/2025,09:12:33,7,familiar_word_condition,flowers,flower_star_1_1.png,7,flowers,2,5147,1,1,NA,NA,NA,NA,FALSE,NA,NA
30,exp_2_child,3,12/02/2025,09:12:33,8,familiar_word_condition,shells,shell_spiral_2_1.png,3,shells,1,3647,2,1,NA,NA,NA,NA,FALSE,NA,NA
30,exp_2_child,3,12/02/2025,09:12:33,8,familiar_word_condition,shells,shell_spiral_3_1.png,2,shells,2,4831,3,1,NA,NA,NA,NA,FALSE,NA,NA
30,exp_2_child,3,12/02/2025,09:12:33,9,familiar_word_condition,shoes,shoe_loafer_1_1.png,7,shoes,1,3396,1,1,NA,NA,NA,NA,FALSE,NA,NA
30,exp_2_child,3,12/02/2025,09:12:33,9,familiar_word_condition,shoes,shoe_elf_1_2.png,6,shoes,2,4396,1,2,NA,NA,NA,NA,FALSE,NA,NA
