study_id,session_id,trial_number,condition,category,image_name,word,click_order,rt,id,typicality,participant_id
borrowing_adult_artifacts,69697a7fb86ab48aeab245db,3,familiar_word_condition,shells,shell_urn_1_2.png,shells,1,10062,1,2,26
borrowing_adult_artifacts,69697a7fb86ab48aeab245db,3,familiar_word_condition,shells,shell_fan_2_1.png,shells,2,12299,2,1,26
borrowing_adult_artifacts,69697a7fb86ab48aeab245db,4,familiar_word_condition,mushrooms,mushroom_disc_2_2.png,mushrooms,1,7969,2,2,26
borrowing_adult_artifacts,69697a7fb86ab48aeab245db,4,familiar_word_condition,mushrooms,mushroom_disc_1_2.png,mushrooms,2,12667,1,2,26
borrowing_adult_artifacts,69697a7fb86ab48aeab245db,5,familiar_word_condition,hats,hat_ballcap_1_1.png,hats,1,7051,1,1,26
borrowing_adult_artifacts,69697a7fb86ab48aeab245db,5,familiar_word_condition,hats,hat_sun_1_1.png,hats,2,15041,1,1,26
borrowing_adult_artifacts,69697a7fb86ab48aeab245db,6,familiar_word_condition,leaves,leaf_droplet_2_1.png,leaves,1,6832,2,1,26
borrowing_adult_artifacts,69697a7fb86ab48aeab245db,6,familiar_word_condition,leaves,leaf_droplet_3_1.png,leaves,2,7966,3,1,26
borrowing_adult_artifacts,69697a7fb86ab48aeab245db,7,familiar_word_condition,flowers,flower_iris_2_2.png,flowers,1,10233,2,2,26
borrowing_adult_artifacts,69697a7fb86ab48aeab245db,7,familiar_word_condition,flowers,flower_round_3_1.png,flowers,2,15188,3,1,26
borrowing_adult_artifacts,69697ab2882c7d28e6a1c343,0,familiar_word_condition,cups,cup_glass_1_1.png,cups,1,3879,1,1,23
borrowing_adult_artifacts,69697ab2882c7d28e6a1c343,0,familiar_word_condition,cups,cup_glass_2_1.png,cups,2,4812,2,1,23
borrowing_adult_artifacts,69697ab2882c7d28e6a1c343,1,familiar_word_condition,spoons,spoon_teaspoon_2_1.png,spoons,1,3698,2,1,23
borrowing_adult_artifacts,69697ab2882c7d28e6a1c343,1,familiar_word_condition,spoons,spoon_teaspoon_1_1.png,spoons,2,4848,1,1,23
borrowing_adult_artifacts,69697ab2882c7d28e6a1c343,2,familiar_word_condition,shells,shell_urn_3_2.png,shells,1,3998,3,2,23
borrowing_adult_artifacts,69697ab2882c7d28e6a1c343,2,familiar_word_condition,shells,shell_stingray_3_2.png,shells,2,5665,3,2,23
borrowing_adult_artifacts,69697ab2882c7d28e6a1c343,3,familiar_word_condition,leaves,leaf_droplet_2_1.png,leaves,1,4130,2,1,23
borrowing_adult_artifacts,69697ab2882c7d28e6a1c343,3,familiar_word_condition,leaves,leaf_droplet_1_1.png,leaves,2,6030,1,1,23
borrowing_adult_artifacts,69697ab2882c7d28e6a1c343,4,familiar_word_condition,shoes,shoe_sneaker_1_1.png,shoes,1,7682,1,1,23
borrowing_adult_artifacts,69697ab2882c7d28e6a1c343,4,familiar_word_condition,shoes,shoe_ghillie_1_2.png,shoes,2,8399,1,2,23
borrowing_adult_artifacts,69697ab2882c7d28e6a1c343,5,familiar_word_condition,flowers,flower_round_1_1.png,flowers,1,2180,1,1,23
borrowing_adult_artifacts,69697ab2882c7d28e6a1c343,5,familiar_word_condition,flowers,flower_star_1_1.png,flowers,2,3995,1,1,23
borrowing_adult_artifacts,69697ab2882c7d28e6a1c343,6,familiar_word_condition,mushrooms,mushroom_toadstool_1_1.png,mushrooms,1,4265,1,1,23
borrowing_adult_artifacts,69697ab2882c7d28e6a1c343,6,familiar_word_condition,mushrooms,mushroom_toadstool_2_1.png,mushrooms,2,5466,2,1,23
borrowing_adult_artifacts,69697ab2882c7d28e6a1c343,7,familiar_word_condition,hats,hat_ballcap_2_1.png,hats,1,1915,2,1,23
borrowing_adult_artifacts,69697ab2882c7d28e6a1c343,7,familiar_word_condition,hats,hat_sun_2_1.png,hats,2,3831,2,1,23
borrowing_adult_artifacts,69697afc61d8c5fcd8975d0d,0,novel_word_condition,spoons,spoon_slotted_2_2.png,palts,1,6676,2,2,2
borrowing_adult_artifacts,69697afc61d8c5fcd8975d0d,0,novel_word_condition,spoons,spoon_slotted_1_2.png,palts,2,8552,1,2,2
borrowing_adult_artifacts,69697afc61d8c5fcd8975d0d,1,novel_word_condition,shells,shell_spiral_3_1.png,bines,1,6285,3,1,2
borrowing_adult_artifacts,69697afc61d8c5fcd8975d0d,1,novel_word_condition,shells,shell_spiral_2_1.png,bines,2,6654,2,1,2
borrowing_adult_artifacts,69697afc61d8c5fcd8975d0d,2,novel_word_condition,leaves,leaf_oak_1_1.png,serns,1,2828,1,1,2
borrowing_adult_artifacts,69697afc61d8c5fcd8975d0d,2,novel_word_condition,leaves,leaf_oak_2_1.png,serns,2,3260,2,1,2
borrowing_adult_artifacts,69697afc61d8c5fcd8975d0d,3,novel_word_condition,cups,cup_twohandled_3_2.png,leams,1,5977,3,2,2
borrowing_adult_artifacts,69697afc61d8c5fcd8975d0d,3,novel_word_condition,cups,cup_twohandled_1_2.png,leams,2,6608,1,2,2
borrowing_adult_artifacts,69697afc61d8c5fcd8975d0d,4,novel_word_condition,hats,hat_jester_1_2.png,tinches,1,4989,1,2,2
borrowing_adult_artifacts,69697afc61d8c5fcd8975d0d,4,novel_word_condition,hats,hat_jester_2_2.png,tinches,2,5396,2,2,2
borrowing_adult_artifacts,69697afc61d8c5fcd8975d0d,5,novel_word_condition,flowers,flower_iris_3_2.png,datches,1,7001,3,2,2
