participant_id,study_id,session_id,trial_number,condition,category,image_name,word,click_order,rt,id,typicality
participant166,67cfb8a562de5c8e881149b4,67cfc661ef46495ec1cb2c33,1,familiar_word_condition,flowers,flower_round_1_1.png,flowers,1,8711,1,1
participant166,67cfb8a562de5c8e881149b4,67cfc661ef46495ec1cb2c33,1,familiar_word_condition,flowers,flower_star_3_1.png,flowers,2,9523,3,1
participant166,67cfb8a562de5c8e881149b4,67cfc661ef46495ec1cb2c33,2,familiar_word_condition,leaves,leaf_droplet_1_1.png,leaves,1,9318,1,1
participant166,67cfb8a562de5c8e881149b4,67cfc661ef46495ec1cb2c33,2,familiar_word_condition,leaves,leaf_droplet_2_1.png,leaves,2,12307,2,1
participant166,67cfb8a562de5c8e881149b4,67cfc661ef46495ec1cb2c33,3,familiar_word_condition,shells,shell_fan_3_1.png,shells,1,7748,3,1
participant166,67cfb8a562de5c8e881149b4,67cfc661ef46495ec1cb2c33,3,familiar_word_condition,shells,shell_spiral_3_1.png,shells,2,8549,3,1
participant169,67cfb8a562de5c8e881149b4,67cfbd8762de5c8e88114aab,0,familiar_word_condition,mushrooms,mushroom_toadstool_3_1.png,mushrooms,1,3501,3,1
participant169,67cfb8a562de5c8e881149b4,67cfbd8762de5c8e88114aab,0,familiar_word_condition,mushrooms,mushroom_disc_2_2.png,mushrooms,2,5216,2,2
participant169,67cfb8a562de5c8e881149b4,67cfbd8762de5c8e88114aab,1,familiar_word_condition,leaves,leaf_oak_2_1.png,leaves,1,2702,2,1
participant169,67cfb8a562de5c8e881149b4,67cfbd8762de5c8e88114aab,1,familiar_word_condition,leaves,leaf_droplet_2_1.png,leaves,2,4898,2,1
participant169,67cfb8a562de5c8e881149b4,67cfbd8762de5c8e88114aab,2,familiar_word_condition,flowers,flower_trumpet_2_2.png,flowers,1,3135,2,2
participant169,67cfb8a562de5c8e881149b4,67cfbd8762de5c8e88114aab,2,familiar_word_condition,flowers,flower_round_3_1.png,flowers,2,3948,3,1
participant169,67cfb8a562de5c8e881149b4,67cfbd8762de5c8e88114aab,3,familiar_word_condition,shells,shell_fan_1_1.png,shells,1,2596,1,1
participant169,67cfb8a562de5c8e881149b4,67cfbd8762de5c8e88114aab,3,familiar_word_condition,shells,shell_spiral_3_1.png,shells,2,3329,3,1
participant182,67cfb8a562de5c8e881149b4,67cfbc93d130208da11ef766,0,familiar_word_condition,shells,shell_fan_3_1.png,shells,1,4847,3,1
participant182,67cfb8a562de5c8e881149b4,67cfbc93d130208da11ef766,0,familiar_word_condition,shells,shell_fan_2_1.png,shells,2,5447,2,1
participant182,67cfb8a562de5c8e881149b4,67cfbc93d130208da11ef766,1,familiar_word_condition,mushrooms,mushroom_toadstool_3_1.png,mushrooms,1,3333,3,1
participant182,67cfb8a562de5c8e881149b4,67cfbc93d130208da11ef766,1,familiar_word_condition,mushrooms,mushroom_toadstool_1_1.png,mushrooms,2,4365,1,1
participant182,67cfb8a562de5c8e881149b4,67cfbc93d130208da11ef766,2,familiar_word_condition,leaves,leaf_oak_1_1.png,leaves,1,3441,1,1
participant182,67cfb8a562de5c8e881149b4,67cfbc93d130208da11ef766,2,familiar_word_condition,leaves,leaf_oak_3_1.png,leaves,2,4073,3,1
participant182,67cfb8a562de5c8e881149b4,67cfbc93d130208da11ef766,3,familiar_word_condition,flowers,flower_round_1_1.png,flowers,1,2210,1,1
participant182,67cfb8a562de5c8e881149b4,67cfbc93d130208da11ef766,3,familiar_word_condition,flowers,flower_round_2_1.png,flowers,2,3442,2,1
participant184,67cfb8a562de5c8e881149b4,67cfba2679313545efc93e35,0,novel_word_condition,flowers,flower_trumpet_1_2.png,palts,1,14680,1,2
participant184,67cfb8a562de5c8e881149b4,67cfba2679313545efc93e35,0,novel_word_condition,flowers,flower_iris_2_2.png,palts,2,15134,2,2
participant184,67cfb8a562de5c8e881149b4,67cfba2679313545efc93e35,1,novel_word_condition,leaves,leaf_heart_1_2.png,bines,1,7699,1,2
participant184,67cfb8a562de5c8e881149b4,67cfba2679313545efc93e35,1,novel_word_condition,leaves,leaf_heart_2_2.png,bines,2,8240,2,2
participant184,67cfb8a562de5c8e881149b4,67cfba2679313545efc93e35,2,novel_word_condition,mushrooms,mushroom_enoki_1_1.png,tinches,1,7948,1,1
participant184,67cfb8a562de5c8e881149b4,67cfba2679313545efc93e35,2,novel_word_condition,mushrooms,mushroom_disc_2_2.png,tinches,2,8561,2,2
participant184,67cfb8a562de5c8e881149b4,67cfba2679313545efc93e35,3,novel_word_condition,shells,shell_stingray_3_2.png,nefts,1,5951,3,2
participant184,67cfb8a562de5c8e881149b4,67cfba2679313545efc93e35,3,novel_word_condition,shells,shell_stingray_1_2.png,nefts,2,6487,1,2
participant195,67cfb8a562de5c8e881149b4,67cfbd1c6cb59aedf03c015d,0,familiar_word_condition,mushrooms,mushroom_toadstool_2_1.png,mushrooms,1,7914,2,1
participant195,67cfb8a562de5c8e881149b4,67cfbd1c6cb59aedf03c015d,0,familiar_word_condition,mushrooms,mushroom_toadstool_1_1.png,mushrooms,2,8961,1,1
participant195,67cfb8a562de5c8e881149b4,67cfbd1c6cb59aedf03c015d,1,familiar_word_condition,shells,shell_fan_2_1.png,shells,1,7154,2,1
participant195,67cfb8a562de5c8e881149b4,67cfbd1c6cb59aedf03c015d,1,familiar_word_condition,shells,shell_fan_1_1.png,shells,2,8090,1,1
participant195,67cfb8a562de5c8e881149b4,67cfbd1c6cb59aedf03c015d,2,familiar_word_condition,leaves,leaf_droplet_2_1.png,leaves,1,4088,2,1
participant195,67cfb8a562de5c8e881149b4,67cfbd1c6cb59aedf03c015d,2,familiar_word_condition,leaves,leaf_droplet_1_1.png,leaves,2,4672,1,1
